[2023-04-03 11:38:30] INFO: CheckM v1.2.2
[2023-04-03 11:38:30] INFO: checkm qa -o 6 xanthomonas.ms genomes.checkm
[2023-04-03 11:38:30] INFO: CheckM data: /home/djs217/checkm/data
[2023-04-03 11:38:30] INFO: [CheckM - qa] Tabulating genome statistics.
[2023-04-03 11:38:30] INFO: Calculating AAI between multi-copy marker genes.
[2023-04-03 11:38:30] INFO: Reading HMM info from file.
[2023-04-03 11:38:33] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Ids
GCA_000192065.2_ASM19206v1_genomic	TIGR01313	AEQX01000071.1_24,AEQX01000120.1_18
GCA_000192065.2_ASM19206v1_genomic	TIGR02209	AEQX01000400.1_2,AEQX01000473.1_8
GCA_000192065.2_ASM19206v1_genomic	TIGR02420	AEQX01000103.1_28,AEQX01000222.1_7
GCA_000192065.2_ASM19206v1_genomic	TIGR01754	AEQX01000016.1_5,AEQX01000363.1_4
GCA_000192065.2_ASM19206v1_genomic	TIGR03558	AEQX01000468.1_8,AEQX01000503.1_35
GCA_000192065.2_ASM19206v1_genomic	TIGR01474	AEQX01000027.1_1,AEQX01000429.1_5,AEQX01000518.1_1
GCA_000192065.2_ASM19206v1_genomic	TIGR01439	AEQX01000148.1_1,AEQX01000273.1_5
GCA_000192065.2_ASM19206v1_genomic	TIGR01779	AEQX01000331.1_1,AEQX01000403.1_15
GCA_000192065.2_ASM19206v1_genomic	TIGR00556	AEQX01000266.1_11,AEQX01000312.1_5
GCA_000192065.2_ASM19206v1_genomic	TIGR01090	AEQX01000359.1_1,AEQX01000403.1_16,AEQX01000416.1_2,AEQX01000464.1_3,AEQX01000531.1_1
GCA_000192065.2_ASM19206v1_genomic	TIGR00249	AEQX01000078.1_25,AEQX01000373.1_11
GCA_000192065.2_ASM19206v1_genomic	PF07991.7	AEQX01000151.1_1,AEQX01000253.1_11
GCA_000192065.2_ASM19206v1_genomic	PF05494.7	AEQX01000300.1_8,AEQX01000503.1_5
GCA_000192065.2_ASM19206v1_genomic	PF03799.10	AEQX01000060.1_2,AEQX01000207.1_2
GCA_000192065.2_ASM19206v1_genomic	PF08478.5	AEQX01000060.1_2,AEQX01000207.1_2
GCA_000192065.2_ASM19206v1_genomic	PF02773.11	AEQX01000015.1_4&&AEQX01000015.1_5,AEQX01000077.1_1
GCA_000192065.2_ASM19206v1_genomic	PF02772.11	AEQX01000015.1_4&&AEQX01000015.1_5,AEQX01000077.1_1
GCA_000192065.2_ASM19206v1_genomic	PF00438.15	AEQX01000015.1_4&&AEQX01000015.1_5,AEQX01000077.1_1
GCA_000192065.2_ASM19206v1_genomic	PF13393.1	AEQX01000002.1_1,AEQX01000228.1_17,AEQX01000311.1_1
GCA_000192065.2_ASM19206v1_genomic	PF03740.8	AEQX01000329.1_19,AEQX01000351.1_2,AEQX01000388.1_34
GCA_000192065.2_ASM19206v1_genomic	PF00464.14	AEQX01000434.1_10,AEQX01000528.1_6
GCA_000192065.2_ASM19206v1_genomic	PF13857.1	AEQX01000104.1_10,AEQX01000370.1_20
GCA_000192065.2_ASM19206v1_genomic	PF08442.5	AEQX01000002.1_27,AEQX01000222.1_1,AEQX01000339.1_9,AEQX01000454.1_8
GCA_000192065.2_ASM19206v1_genomic	PF00471.15	AEQX01000316.1_3,AEQX01000448.1_22,AEQX01000516.1_3
GCA_000192065.2_ASM19206v1_genomic	PF11855.3	AEQX01000202.1_4,AEQX01000413.1_7
GCA_000192065.2_ASM19206v1_genomic	PF04999.8	AEQX01000400.1_2,AEQX01000473.1_8
GCA_000192065.2_ASM19206v1_genomic	PF06508.8	AEQX01000025.1_13,AEQX01000073.1_30
GCA_000192065.2_ASM19206v1_genomic	PF13835.1	AEQX01000202.1_3,AEQX01000413.1_6
GCA_000192065.2_ASM19206v1_genomic	PF04257.9	AEQX01000300.1_12,AEQX01000503.1_1
GCA_000192065.2_ASM19206v1_genomic	PF03477.11	AEQX01000434.1_11,AEQX01000528.1_5
GCA_000192065.2_ASM19206v1_genomic	PF00515.23	AEQX01000270.1_10,AEQX01000351.1_7
GCA_000192065.2_ASM19206v1_genomic	PF03547.13	AEQX01000078.1_27,AEQX01000373.1_13
GCA_000192065.2_ASM19206v1_genomic	PF02629.14	AEQX01000222.1_2,AEQX01000339.1_8,AEQX01000454.1_7
GCA_000192065.2_ASM19206v1_genomic	PF08975.5	AEQX01000003.1_23,AEQX01000155.1_3,AEQX01000368.1_34,AEQX01000407.1_2,AEQX01000544.1_2
GCA_000192065.2_ASM19206v1_genomic	PF02867.10	AEQX01000016.1_3,AEQX01000363.1_2
GCA_000192065.2_ASM19206v1_genomic	PF00317.16	AEQX01000016.1_3,AEQX01000363.1_2
GCA_000192065.2_ASM19206v1_genomic	PF04348.8	AEQX01000336.1_1,AEQX01000473.1_1
GCA_000192065.2_ASM19206v1_genomic	PF08459.6	AEQX01000226.1_13,AEQX01000458.1_1
GCA_000192065.2_ASM19206v1_genomic	PF00268.16	AEQX01000016.1_4,AEQX01000363.1_3
GCA_000192065.2_ASM19206v1_genomic	PF01566.13	AEQX01000246.1_1,AEQX01000266.1_1
